"variable","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",328.731067164107,90.1818736571914,3.64520112338443,0.000267182766240587
"PAR_TC",-0.55779771516414,0.297735641571588,-1.87346638185412,0.0610040108456909
"PAR_SC",0.00685262418265157,0.00535536261824314,1.27958173351474,0.20069227746271
"PAR_SC_V",0.153561537104081,0.288441708056801,0.53238326086268,0.594460576284112
"PAR_ASE1",-137.158202369866,24.9777942236423,-5.49120555409335,3.99199413952122e-08
"PAR_ASE2",222.557350941357,33.7112368253572,6.60187438670157,4.05991457895107e-11
"PAR_ASE3",-105.321320233063,43.0319632003199,-2.4475137177167,0.0143845649400713
"PAR_ASE4",134.949176039242,61.6452857344753,2.18912402516079,0.0285878267582611
"PAR_ASE5",-72.1882307426552,58.6246750553019,-1.23136257343104,0.218187288333641
"PAR_ASE6",50.9682993762161,48.4134758355232,1.05277091753074,0.292445996958149
"PAR_ASE7",-18.6456580767583,34.7074051354288,-0.537224203422949,0.5911127546366
"PAR_ASE8",4.6958875296283,27.1707435678089,0.172828819274267,0.862785983401158
"PAR_ASE9",18.4823029270269,23.538221102129,0.785203896540643,0.432334031251277
"PAR_ASE10",15.8056161289869,20.3057885763202,0.778379823545428,0.436345129750281
"PAR_ASE11",-12.9957175890384,18.165084321714,-0.715422915681361,0.474347756715184
"PAR_ASE12",97.0184820804758,18.0782231251955,5.36659390741018,8.02374331787479e-08
"PAR_ASE13",26.6668456832118,16.641542412839,1.6024263269394,0.109061366952967
"PAR_ASE14",-17.0726191109251,19.8116527656942,-0.861746332465912,0.388827123314329
"PAR_ASE15",-19.0571115351465,20.4055174240853,-0.933919544360723,0.350345396346033
"PAR_ASE16",-48.3712835637017,21.9191462061528,-2.20680509672971,0.0273276788425354
"PAR_ASE17",-31.7700644474861,28.089534710922,-1.13102850490197,0.258043094054077
"PAR_ASE18",63.5937821954538,30.3156167296879,2.09772351862388,0.0359295760621767
"PAR_ASE19",78.4541997771767,31.0895655649089,2.52348974170706,0.0116196450704489
"PAR_ASE20",-78.5332693089628,31.6765773111539,-2.47922206170014,0.0131669303348385
"PAR_ASE21",-17.529509887182,40.8048456348815,-0.429593829223976,0.667491126656444
"PAR_ASE22",94.7429717508312,43.9285135359259,2.15675341878682,0.031024882331516
"PAR_ASE23",87.1699363183669,46.4331301309062,1.87732199127248,0.0604739759275601
"PAR_ASE24",100.197371605156,43.9655254667344,2.27899861406111,0.0226671476873679
"PAR_ASE25",5.34030974429628,41.9058482978742,0.127435905994228,0.898595399022611
"PAR_ASE26",-21.9902579537914,49.5714267502893,-0.443607525451405,0.657326363955199
"PAR_ASE27",54.5505401691073,55.452980400123,0.983726028348628,0.325250238495382
"PAR_ASE28",-211.57201678843,53.9542872143037,-3.92131983781153,8.8065279687322e-05
"PAR_ASE29",-61.3211849952569,32.5193930300989,-1.88568049036155,0.0593380234821091
"PAR_ASE30",181.414729971271,34.4271251901423,5.26952886624459,1.36774361251846e-07
"PAR_ASE31",-85.8509234887056,34.9478729548152,-2.45654216494674,0.0140281338827323
"PAR_ASE32",16.6666865295075,29.9339702477009,0.556781689551775,0.577676595680154
"PAR_ASE33",6929.52995387725,855.274007959219,8.10211685306782,5.4011027090116e-16
"PAR_ASE34",-6876.0996946915,855.088653631516,-8.04138806600822,8.88264642412575e-16
"PAR_ASEV1",406.763068183581,1551.72332841132,0.262136336250117,0.793216333699924
"PAR_ASEV2",2046.85860645392,1542.74527119842,1.32676381815379,0.184586822728076
"PAR_ASEV3",-3853.61449107231,1455.72847468871,-2.64720691947471,0.00811596758557667
"PAR_ASEV4",1973.25508153308,1940.17495344914,1.01705007480131,0.309129608672689
"PAR_ASEV5",151.796865319708,1900.36221167793,0.0798778592769838,0.936334399288532
"PAR_ASEV6",-717.163164315305,1561.93555114088,-0.459150291951209,0.646126243575927
"PAR_ASEV7",-188.65867806661,1069.60791337956,-0.176381153978675,0.859994509496872
"PAR_ASEV8",-786.063445650758,814.420481113301,-0.96518133308266,0.334453994988673
"PAR_ASEV9",-318.056609066877,760.163523312781,-0.418405513172733,0.67565065635834
